species,count
Celtis latifolia,8341
Gnetum gnemon,6970
Gymnacranthera farquhariana,6916
Mastixiodendron pachyclados,6570
Litsea timoriana,5551
Ficus hahliana,5524
Aphanamixis polystachya,4700
Dysoxylum arborescens,4651
Pimelodendron amboinicum,4447
Ixora novoguineensis,3886
Pometia pinnata,3667
Harpullia longipetala,3566
Ficus badiopurpurea,3525
Aglaia rimosa,3294
Horsfieldia basifissa,3290
Dysoxylum macrostachyum,3223
Chisocheton ceramicus,2972
Canarium acutifolium,2834
Erythrospermum candidum,2792
Dracaena angustifolia,2729
Aglaia lepiorrhachis,2627
Chisocheton cumingianus,2602
Calophyllum soulattri,2517
Microcos grandiflora,2507
Pseuduvaria macrocarpa,2487
Ternstroemia cherryi,2424
Ryparosa amplifolia,2296
Ryparosa calotricha,2189
Myristica inutilis,2180
Graptophyllum pictum,2133
Ixora amplexifolia,2116
Cynometra schefferi,2101
Syzygium longipes,2063
Randia schumanniana,2015
Ficus conocephalifolia,1975
Mallotus peltatus,1911
Medusanthera laxiflora,1844
Sterculia shillinglawii,1764
Haplolobus floribundus,1729
Planchonella xylocarpa,1652
Mallotus oblongifolius,1645
Cryptocarya caloneura,1560
Chisocheton trichocladus,1547
Semecarpus undulatus,1532
Microcos argentata,1524
Myristica globosa,1508
Ceodes longirostris,1492
Xanthophyllum papuanum,1420
Cynometra psilogyne,1386
Aglaia agglomerata,1366
Dysoxylum parasiticum,1357
Chisocheton weinlandii,1336
Pseuduvaria coriacea,1281
Cryptocarya mackinnoniana,1249
Dysoxylum alliaceum,1224
Ficus aurantiacafolia,1210
Aglaia argentea,1205
Cynometra lenticellata,1191
Sterculia ampla,1183
Planchonella myrsinodendron,1175
Ardisia imperialis,1156
Ficus adelpha,1130
Dysoxylum papuanum,1127
Ziziphus angustifolia,1112
Aglaia tomentosa,1101
Palaquium galactoxylum,1085
Merrilliodendron megacarpum,1080
Cupaniopsis acuticarpa,1024
Macaranga punctata,1017
Barringtonia apiculata,973
Galearia celebica,953
Archidendron lucyi,948
Licuala beccariana,942
Tristiropsis acutangula,939
Chionanthus ramiflora,928
Macaranga bifoveata,922
Syzygium gonatanthum,919
Macaranga neobritannica,902
Kingiodendron alternifolium,894
Ficus wassa,884
Aglaia brownii,882
Polyalthia longirostris,868
Litsea collina,864
Chionanthus brassii,852
Dysoxylum excelsum,826
Monoon oblongifolium,825
Pleioluma firma,821
Celtis philippensis,794
Endocomia macrocoma,778
Actinodaphne nitida,768
Canarium indicum,756
Cryptocarya medicinalis,744
Pterocymbium beccarii,735
Cynometra megalocephala,731
Macaranga fallacina,709
Maasia glauca,694
Palaquium warburgianum,678
Kingiodendron novoguineense,673
Myristica crassipes,672
Pangium edule,666
Horsfieldia hellwigii,659
Prunus schlechteri,657
Haplolobus lanceolatus,644
Semecarpus schlechteri,638
Terminalia complanata,637
Harpullia ramiflora,630
Ficus rubrivestimenta,615
Tabernaemontana pandacaqui,602
Leucosyke australis,598
Dysoxylum setosum,592
Neololeba atra,587
Ficus erythrosperma,587
Intsia bijuga,575
Syzygium hylophilum,570
Planchonella thyrsoidea,569
Timonius rufescens,564
Aporosa papuana,520
Ficus arfakensis,503
Cryptocarya multipaniculata,491
Drypetes oblongifolia,477
Gmelina moluccana,471
Garcinia dulcis,468
Dysoxylum pettigrewianum,465
Ixora timorensis,463
Ficus gul,448
Dracontomelon dao,441
Goniothalamus imbricatus,438
Neonauclea obversifolia,437
Cerbera floribunda,437
Lepidopetalum perrottetii,432
Sloanea sogerensis,427
Steganthera hirsuta,426
Picrasma javanica,423
Sandoricum koetjape,422
Artocarpus lacucha,411
Diospyros peekelii,405
Microcos triflora,401
Dracontomelon lenticulatum,397
Cryptocarya novo-guineensis,392
Allophylus cobbe,384
Palaquium morobense,375
Cupaniopsis macropetala,369
Mischocarpus sundaicus,367
Semecarpus australiensis,367
Macaranga aleuritoides,363
Ficus pungens,356
Alstonia scholaris,348
Cinnamomum grandiflorum,345
Wrightia laevis,344
Aganope heptaphylla,343
Elaeocarpus undulatus,339
Ochrosia citrodora,337
Horsfieldia sylvestris,334
Elaeocarpus amplifolius,333
Cordyline terminalis,329
Ganophyllum falcatum,327
Teijsmanniodendron bogoriense,327
Leea indica,324
Pandanus kaernbachii,324
Harpullia arborea,324
Syzygium goniopterum,323
Chisocheton longistipitatus,317
Dendrocnide ternatensis,316
Prunus gazelle-peninsulae,316
Ficus hombroniana,306
Syzygium furfuraceum,304
Drypetes lasiogynoides,300
Horsfieldia irya,297
Artocarpus sepicanus,295
Celtis nymanii,294
Chisocheton lasiocarpus,294
Ailanthus integrifolia,294
Ficus variegata,293
Canarium oleosum,285
Neuburgia corynocarpa,282
Melicope elleryana,282
Nauclea orientalis,280
Terminalia impediens,280
Hopea novoguineensis,277
Oreocnide trinervis,276
Pterocarpus indicus,272
Drepananthus polycarpus,270
Siphonodon celastrineus,268
Myristica subalulata,267
Barringtonia novae-hiberniae,267
Chisocheton formicarum,267
Elaeocarpus miegei,254
Dictyoneura obtusa,250
Podocarpus neriifolius,249
Garcinia hunsteinii,244
Diospyros foliosa,244
Claoxylon indicum,243
Benstonea stenocarpa,242
Ficus nodosa,241
Protium macgregorii,238
Canarium macadamii,235
Antiaris toxicaria,228
Macaranga inermis,226
Ardisia lanceolata,224
Atractocarpus macarthurii,222
Gomphandra papuana,222
Phaeanthus ophthalmicus,219
Neoscortechinia forbesii,218
Bridelia macrocarpa,216
Vitex cofassus,214
Glochidion angulatum,212
Cynometra plurijuga,211
Decaspermum urvillei,206
Ficus trachypison,197
Cryptocarya densiflora,193
Aceratium oppositifolium,187
Cryptocarya massoy,187
Endiandra dielsiana,184
Homalium foetidum,184
Drepananthus obtusifolius,184
Eumachia leptothyrsa,179
Osmoxylon novoguineense,179
Gardenia hansemannii,178
Antidesma excavatum,174
Carallia brachiata,172
Ficus subtrinervia,170
Garcinia assugu,170
Mischocarpus largifolius,167
Pittosporum sinuatum,160
Prainea limpato,160
Papuodendron lepidotus,160
Ficus mollior,156
Ficus pseudojaca,156
Ficus congesta,154
Ficus melinocarpa,154
Litsea globosa,154
Ficus primaria,151
Guioa comesperma,144
Ficus botryocarpa,143
Ficus copiosa,143
Trichospermum pleiostigma,141
Dysoxylum brassii,141
Cupaniopsis curvidens,139
Ficus polyantha,139
Micromelum minutum,139
Endospermum labios,139
Myristica filipes,139
Astronidium acutifolium,137
Syndyophyllum excelsum,136
Ficus subcuneata,135
Dysoxylum mollissimum,133
Aglaia sapindina,130
Pavetta platyclada,127
Myristica schleinitzii,126
Goniothalamus aruensis,123
Casearia clutiifolia,122
Ficus adenosperma,121
Ryticaryum novoguineense,121
Psychotria ramuensis,120
Myristica hollrungii,120
Archidendron ptenopum,120
Dysoxylum alatum,120
Litsea guppyi,119
Macaranga tanarius,118
Terminalia microcarpa,117
Chionanthus trichotomus,117
Saurauia poolei,115
Cryptocarya endiandrifolia,114
Artocarpus camansi,114
Dysoxylum acutangulum,111
Aglaia cucullata,111
Sterculia tantraensis,110
Millettia pinnata,109
Garuga floribunda,109
Rhodamnia sessiliflora,108
Maranthes corymbosa,101
Macaranga quadriglandulosa,101
Tarenna buruensis,101
Horsfieldia subtilis,100
Gonocaryum litorale,99
Aglaia conferta,99
Syzygium amplum,99
Callicarpa pentandra,97
Helicia latifolia,95
Dysoxylum annae,92
Gigasiphon schlechteri,87
Trophis philippinensis,87
Cryptocarya depressa,84
Atuna racemosa,84
Psychotria micrococca,82
Teijsmanniodendron ahernianum,82
Neonauclea maluensis,81
Wenzelia dolichophylla,81
Toona sureni,80
Syzygium fastigiatum,80
Streblus ascendens,78
Calycacanthus magnusianus,76
Clerodendrum tracyanum,76
Breynia cernua,72
Mallotus trinervius,70
Morinda citrifolia,67
Spondias dulcis,66
Atractocarpus decorus,65
Ficus semivestita,65
Bambusa hirsuta,65
Canarium schlechteri,64
Polyspora papuana,64
Callicarpa pedunculata,62
Polyscias spectabilis,62
Lepidopetalum xylocarpum,61
Dysoxylum gaudichaudianum,60
Elaeocarpus angustifolius,59
Meliosma pinnata,59
Clerodendrum porphyrocalyx,57
Donella lanceolata,57
Psydrax cymigera,55
Syzygium acuminatissimum,54
Ficus pachyrrhachis,54
Artocarpus communis,51
Syzygium pteropodum,51
Flacourtia rukam,50
Saurauia purgans,48
Dichapetalum papuanum,46
Parkia versteeghii,45
Endiandra brassii,45
Kleinhovia hospita,43
Cananga odorata,43
Garcinia ledermannii,43
Aphananthe philippinensis,42
Salacia macrophylla,42
Lagerstroemia engleriana,42
Archidendron glabrum,41
Vitex quinata,40
Orania lauterbachiana,40
Steganthera hospitans,39
Aglaia brassii,39
Pipturus argenteus,37
Xylopia papuana,36
Zanthoxylum pluviatile,35
Myristica insipida,35
Albizia procera,34
Arytera littoralis,34
Aglaia caroli,34
Syzygium hylochare,33
Caryota rumphiana,33
Callicarpa tomentosa,32
Syzygium thornei,32
Timonius timon,32
Cryptocarya ledermannii,32
Tetrameles nudiflora,32
Sloanea forbesii,31
Planchonia papuana,30
Endospermum medullosum,30
Lepidopetalum micans,29
Ryticaryum longifolium,29
Cryptocarya laevigata,29
Semecarpus magnificus,28
Haplolobus furfuraceus,27
Drypetes longifolia,27
Terminalia sepicana,27
Alangium javanicum,26
Dysoxylum latifolium,26
Garcinia latissima,25
Macaranga novoguineensis,25
Terminalia archipelagi,25
Ficus virens,25
Flacourtia zippelii,24
Gomphandra montana,23
Citronella suaveolens,22
Myristica buchneriana,22
Mallotus philippensis,22
Jagera javanica,22
Planchonella keyensis,21
Solanum oliverianum,21
Lepiniopsis ternatensis,21
Harpullia aeruginosa,21
Chisocheton pachyrhachis,21
Neolamarckia cadamba,20
Horsfieldia spicata,20
Lagerstroemia celebica,19
Ficus virgata,19
Commersonia bartramia,19
Phaleria macrocarpa,18
Leucosyke capitellata,18
Hydriastele costata,17
Canarium polyphyllum,17
Chisocheton montanus,17
Ficus glandifera,17
Homalanthus novoguineensis,16
Artocarpus altilis,16
Octomeles sumatrana,16
Lophopetalum torricellense,16
Ceodes umbellifera,16
Euroschinus papuanus,16
Elaeocarpus schlechteri,15
Popowia pisocarpa,15
Psychotria beccarii,15
Aglaia subcuprea,15
Barringtonia racemosa,15
Croton womersleyi,14
Sarcocephalus coadunatus,14
Vatica rassak,14
Aceratium ledermannii,13
Mangifera minor,13
Ficus edelfeltii,13
Ficus ampelas,13
Barringtonia calyptrocalyx,13
Ficus phaeosyce,13
Citrus polyandra,13
Phyllanthus clamboides,12
Canarium asperum,12
Pouteria torricellensis,12
Alphitonia incana,11
Toechima livescens,11
Cleidion javanicum,11
Mussaenda cylindrocarpa,11
Bombax ceiba,11
Mangifera indica,10
Phaleria perrottetiana,10
Friesodielsia glauca,10
Ficus archboldiana,10
Garcinia maluensis,10
Cryptocarya apamifolia,10
Oreocnide rubescens,10
Uvaria musaria,9
Voacanga grandifolia,9
Inocarpus fagifer,8
Debregeasia longifolia,8
Diospyros lolin,8
Litsea trichophylla,8
Parartocarpus venenosa,8
Horsfieldia sinclairii,8
Semecarpus forstenii,7
Uncaria appendiculata,7
Helicia affinis,7
Gnetum costatum,7
Trema orientalis,7
Claoxylon nervosum,7
Buchanania macrocarpa,7
Hibiscus ellipticifolius,6
Adenanthera novo-guineensis,6
Commelina paleata,6
Dendrocnide cordata,6
Melochia umbellata,6
Tabernaemontana aurantiaca,6
Ficus drupacea,5
Ficus hispidioides,5
Chisocheton pohlianus,5
Premna serratifolia,5
Salacia erythrocarpa,5
Callicarpa arborea,5
Dillenia castaneifolia,5
Strychnos minor,5
Terminalia macrocarpa,5
Dysoxylum cauliflorum,5
Chionanthus sessiliflorus,5
Cyclophyllum longiflorum,4
Diospyros hebecarpa,4
Harpullia crustacea,4
Elaeocarpus ledermannii,4
Aglaia euryanthera,4
Aglaia parviflora,4
Kopsia flavida,4
Oxymitra grandiflora,4
Rinorea bengalensis,4
Omphalea papuana,4
Pterygota horsfieldii,4
Abarema precatorius,4
Mussaenda ferruginea,4
Hernandia ovigera,4
Duabanga moluccana,4
Hibiscus tiliaceus,4
Hugonia jenkinsii,3
Harpullia petiolaris,3
Cryptocarya viridiflora,3
Glochidion novo-guineense,3
Rhus taitensis,3
Elaeocarpus womersleyi,3
Syzygium iteophyllum,3
Buchanania arborescens,3
Hanslia ormocarpoides,3
Alstonia macrophylla,2
Gomphandra australiana,2
Terminalia kaernbachii,2
Ficus caulocarpa,2
Kingiodendron micranthum,2
Toechima erythrocarpum,2
Grewia glabra,2
Pseuduvaria beccarii,2
Callicarpa longifolia,2
Elaeocarpus dolichostylus,2
Macrococculus pomiferus,2
Melanolepis multiglandulosa,2
Intsia palembanica,2
Canarium vitiense,2
Cynometra fortuna-tironis,2
Astronidium montanum,2
Mallotus resinosus,2
Morinda umbellata,2
Chisocheton schumannii,2
Mallotus floribundus,2
Ficus odoardi,2
Heritiera littoralis,2
Horsfieldia macrocoma,2
Microglossa pyrifolia,1
Diplazium esculentum,1
Myristica markgraviana,1
Opocunonia nymanii,1
Cordia dichotoma,1
Myristica lancifolia,1
Papuechites aambe,1
Calopogonium mucunoides,1
Saurauia conferta,1
Phrynium macrocephalum,1
Tecomanthe dendrophila,1
Syzygium richardsonianum,1
Timonius pulposus,1
Macaranga clavata,1
Macaranga ducis,1
Maesa edulis,1
Medinilla crassinervia,1
Sterculia conwentzii,1
Decalobanthus peltatus,1
Cyrtandra erectiloba,1
Diospyros areolifolia,1
Alocasia brancifolia,1
Diospyros ferrea,1
Aglaia integrifolia,1
Canarium hirsutum,1
Trichadenia philippinensis,1
Eupomatia laurina,1
Gliricidia sepium,1
Psychotria chrysantha,1
Rottboellia exaltata,1
Artocarpus fretissi,1
Bischofia javanica,1
Adenanthera pavonina,1
Ziziphus djamuensis,1
